id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈
BV10029707,,徐家汇(地铁站),交通设施服务;地铁站;地铁站,11号线;1号线;9号线,,121.436603,31.195514,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10025073,,上海南站(地铁站),交通设施服务;地铁站;地铁站,15号线;1号线;3号线,,121.430041,31.154579,310000,上海市,021,上海市,310104,徐汇区,康健
BV10039893,,陕西南路(地铁站),交通设施服务;地铁站;地铁站,10号线;12号线;1号线,,121.458744,31.21515,310000,上海市,021,上海市,310104,徐汇区,淮海路
BV10039880,,宜山路(地铁站),交通设施服务;地铁站;地铁站,3号线;4号线;9号线,,121.427194,31.186717,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10025307,,交通大学(地铁站),交通设施服务;地铁站;地铁站,10号线;11号线,,121.435253,31.202213,310000,上海市,021,上海市,310104,徐汇区,
BV10039862,,常熟路(地铁站),交通设施服务;地铁站;地铁站,1号线;7号线,,121.449141,31.213524,310000,上海市,021,上海市,310104,徐汇区,湖南路
BV10026004,,上海体育馆(地铁站),交通设施服务;地铁站;地铁站,1号线;4号线,,121.437423,31.182813,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10039859,,龙华中路(地铁站),交通设施服务;地铁站;地铁站,12号线;7号线,,121.457064,31.184379,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10025213,,漕河泾开发区(地铁站),交通设施服务;地铁站;地铁站,9号线,,121.397769,31.170644,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10039879,,桂林路(地铁站),交通设施服务;地铁站;地铁站,15号线;9号线,,121.418064,31.174791,310000,上海市,021,上海市,310104,徐汇区,田林
BV10026584,,漕宝路(地铁站),交通设施服务;地铁站;地铁站,12号线;1号线,,121.433143,31.168344,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10024943,,龙华(地铁站),交通设施服务;地铁站;地铁站,11号线;12号线,,121.452958,31.172672,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10039807,,龙耀路(地铁站),交通设施服务;地铁站;地铁站,11号线,,121.459702,31.15972,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10039860,,东安路(地铁站),交通设施服务;地铁站;地铁站,4号线;7号线,,121.454897,31.190819,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10039894,,衡山路(地铁站),交通设施服务;地铁站;地铁站,1号线,,121.446424,31.204528,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV10026582,,锦江乐园(地铁站),交通设施服务;地铁站;地铁站,1号线,,121.414107,31.142217,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10039940,,大木桥路(地铁站),交通设施服务;地铁站;地铁站,12号线;4号线,,121.463278,31.194057,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10039861,,肇嘉浜路(地铁站),交通设施服务;地铁站;地铁站,7号线;9号线,,121.450212,31.199436,310000,上海市,021,上海市,310104,徐汇区,
BV10039973,,上海图书馆(地铁站),交通设施服务;地铁站;地铁站,10号线,,121.444363,31.20796,310000,上海市,021,上海市,310104,徐汇区,湖南路
BV10039806,,云锦路(地铁站),交通设施服务;地铁站;地铁站,11号线,,121.458519,31.166488,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10039938,,龙漕路(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线;12号线;3号线,,121.444383,31.169458,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10024951,,上海体育场(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线;4号线,,121.443529,31.185605,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10039937,,虹梅路(地铁站),交通设施服务;地铁站;地铁站,12号线,,121.39725,31.16035,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10024842,,桂林公园(地铁站),交通设施服务;地铁站;地铁站,12号线;15号线,,121.419647,31.166985,310000,上海市,021,上海市,310104,徐汇区,田林
BV10820979,,华泾西(地铁站),交通设施服务;地铁站;地铁站,(在建)19号线;15号线,,121.440138,31.113429,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10024941,,上海游泳馆(地铁站),交通设施服务;地铁站;地铁站,11号线,,121.441424,31.179123,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10039881,,嘉善路(地铁站),交通设施服务;地铁站;地铁站,12号线;9号线,,121.460704,31.20282,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV10039994,,石龙路(地铁站),交通设施服务;地铁站;地铁站,3号线,,121.443205,31.157949,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10820973,,华东理工大学(地铁站),交通设施服务;地铁站;地铁站,15号线,,121.42899,31.144257,310000,上海市,021,上海市,310104,徐汇区,康健
BV10820984,,朱梅路(地铁站),交通设施服务;地铁站;地铁站,15号线,,121.437804,31.124364,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10607588,,虹漕路(地铁站),交通设施服务;地铁站;地铁站,12号线,,121.410553,31.164033,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10039993,,漕溪路(地铁站),交通设施服务;地铁站;地铁站,3号线,,121.43841,31.176746,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10820976,,罗秀路(地铁站),交通设施服务;地铁站;地铁站,15号线,,121.435806,31.131552,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11471657,,华泾路(地铁站),交通设施服务;地铁站;地铁站,(在建)19号线;(在建)23号线,,121.456878,31.11998,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11471655,,上海植物园(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线,,121.450427,31.149045,310000,上海市,021,上海市,310104,徐汇区,
BV11471653,,徐浦大桥(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线,,121.455953,31.127171,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11471650,,龙启路(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线,,121.449263,31.158626,310000,上海市,021,上海市,310104,徐汇区,龙华
BV11184128,,龙瑞路(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线,,121.452936,31.136172,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11471651,,景联路(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线,,121.454508,31.101367,310000,上海市,021,上海市,310104,徐汇区,
BV10384930,,虹梅路环镇南路(公交站),交通设施服务;公交车站;公交车站相关,69路,,121.395122,31.175768,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BV10633672,,田州路古美路(公交站),交通设施服务;公交车站;公交车站相关,(停运)漕河泾开发区班车B线,,121.396301,31.163246,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10341857,,桂箐路钦州北路(公交站),交通设施服务;公交车站;公交车站相关,205路,,121.404401,31.177856,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BV11085553,,宋园路红松东路(公交站),交通设施服务;公交车站;公交车站相关,虹桥镇社区巴士,,121.413506,31.190365,310000,上海市,021,上海市,310104,徐汇区,虹桥
BV10462318,,桂箐路平果路(公交站),交通设施服务;公交车站;公交车站相关,252路,,121.406059,31.169769,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10462321,,桂箐路全州路(公交站),交通设施服务;公交车站;公交车站相关,252路,,121.406593,31.167053,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV11661997,,吴中路桂林路(公交站),交通设施服务;公交车站;公交车站相关,548路;776路;87路,,121.415605,31.187403,310000,上海市,021,上海市,310104,徐汇区,
BV11624897,,钦州南路桂江路(公交站),交通设施服务;公交车站;公交车站相关,830路,,121.407001,31.155117,310000,上海市,021,上海市,310104,徐汇区,康健
BV10385409,,中山西路吴中路(公交站),交通设施服务;公交车站;公交车站相关,224路;252路;48路;776路;909路,,121.420877,31.189988,310000,上海市,021,上海市,310104,徐汇区,虹桥
BV10405997,,苍梧路田林路(公交站),交通设施服务;公交车站;公交车站相关,131路;93路,,121.413535,31.169061,310000,上海市,021,上海市,310104,徐汇区,田林
BV10386925,,江安路桂江路(公交站),交通设施服务;公交车站;公交车站相关,731路;732路;804路,,121.411298,31.14737,310000,上海市,021,上海市,310104,徐汇区,康健
BV10915580,,梅陇汽车站(公交站),交通设施服务;公交车站;公交车站相关,亭梅线;南梅线;枫梅线;石梅线,,121.412948,31.141371,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10386953,,广元西路华山路(公交站),交通设施服务;公交车站;公交车站相关,958路,,121.433207,31.194821,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10384255,,钦州路田林东路(公交站),交通设施服务;公交车站;公交车站相关,122路,,121.428776,31.175551,310000,上海市,021,上海市,310104,徐汇区,田林
BV10341877,,徐家汇(华山路)(公交站),交通设施服务;公交车站;公交车站相关,320路;855路;923路;926路;946路;958路,,121.437298,31.197423,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10553014,,钦州南路柳州路(公交站),交通设施服务;公交车站;公交车站相关,1203路;725路;755路;761路,,121.424496,31.159701,310000,上海市,021,上海市,310104,徐汇区,康健
BV11591282,,教育考试院(公交站),交通设施服务;公交车站;公交车站相关,224路;909路,,121.425031,31.159956,310000,上海市,021,上海市,310104,徐汇区,康健
BV10646793,,冠生园路柳州路(公交站),交通设施服务;公交车站;公交车站相关,1203路,,121.426536,31.163312,310000,上海市,021,上海市,310104,徐汇区,康健
BV10991739,,嘉川路虹梅南路(公交站),交通设施服务;公交车站;公交车站相关,729路,,121.417953,31.134568,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10382862,,乌鲁木齐中路复兴中路(公交站),交通设施服务;公交车站;公交车站相关,93路,,121.446601,31.211008,310000,上海市,021,上海市,310104,徐汇区,湖南路
BV10646796,,冠生园路钦州路(公交站),交通设施服务;公交车站;公交车站相关,1203路,,121.43004,31.163501,310000,上海市,021,上海市,310104,徐汇区,康健
BV10646794,,钦州南路钦州路(公交站),交通设施服务;公交车站;公交车站相关,1203路,,121.429344,31.161152,310000,上海市,021,上海市,310104,徐汇区,康健
BV10382937,,肇嘉浜路天平路(徐家汇)(公交站),交通设施服务;公交车站;公交车站相关,171路;303路;320路;43路;44路;50路;572路;72路;824路;836路;927路;93路;956路;957路;985路;徐川专线;徐闵夜宵专线;徐闵线,,121.442085,31.19537,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10646797,,钦州路康健路(公交站),交通设施服务;公交车站;公交车站相关,1203路,,121.431141,31.16467,310000,上海市,021,上海市,310104,徐汇区,田林
BV10646798,,漕河泾(漕宝路)(公交站),交通设施服务;公交车站;公交车站相关,1203路,,121.432578,31.168225,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10385253,,沪闵路柳州路(上海南站)(公交站),交通设施服务;公交车站;公交车站相关,301路,,121.428128,31.156102,310000,上海市,021,上海市,310104,徐汇区,康健
BV10343205,,天钥桥路辛耕路(徐家汇)(公交站),交通设施服务;公交车站;公交车站相关,122路;15路;315路;44路;572路;72路;732路;770路;864路;927路;958路;徐闵夜宵专线;隧道夜宵一线,,121.441645,31.192595,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10405705,,建国西路宛平路(公交站),交通设施服务;公交车站;公交车站相关,42路,,121.444536,31.200356,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV11109303,,沪闵路柳州南路(公交站),交通设施服务;公交车站;公交车站相关,703路,,121.428287,31.156256,310000,上海市,021,上海市,310104,徐汇区,康健
BV10646795,,钦州路冠生园路(公交站),交通设施服务;公交车站;公交车站相关,1203路,,121.431046,31.162809,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10386567,,复兴中路乌鲁木齐中路(公交站),交通设施服务;公交车站;公交车站相关,96路,,121.448833,31.21052,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV10555464,,辛耕路天钥桥路(徐家汇)(公交站),交通设施服务;公交车站;公交车站相关,178路大站车,,121.442384,31.192366,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10851807,,漕东路漕溪路(公交站),交通设施服务;公交车站;公交车站相关,1204路,,121.43589,31.173666,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10697417,,漕河泾(沪闵路)(公交站),交通设施服务;公交车站;公交车站相关,1203路,,121.434204,31.166771,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10627822,,宛平南路肇嘉浜路(公交站),交通设施服务;公交车站;公交车站相关,167路;864路,,121.445259,31.196043,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10848906,,漕东支路漕东路(公交站),交通设施服务;公交车站;公交车站相关,1204路,,121.437531,31.172947,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10851810,,宾阳路宾南路(公交站),交通设施服务;公交车站;公交车站相关,1204路,,121.436538,31.163604,310000,上海市,021,上海市,310104,徐汇区,龙华
BV11620882,,上海南站南广场(公交站),交通设施服务;公交车站;公交车站相关,(停运)上海长途客运南站-沈家湾客运码头;(停运)沈家湾客运码头-上海长途客运南站;860路,,121.432622,31.152739,310000,上海市,021,上海市,310104,徐汇区,康健
BV10384013,,华东理工大学(老沪闵路)(公交站),交通设施服务;公交车站;公交车站相关,111路;156路;157路;192路;729路;867路;973路,,121.429169,31.142811,310000,上海市,021,上海市,310104,徐汇区,康健
BV10848907,,三江路龙漕路(公交站),交通设施服务;公交车站;公交车站相关,1204路,,121.438416,31.167747,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10383964,,石龙路龙川北路(公交站),交通设施服务;公交车站;公交车站相关,111路;157路;192路;729路;761路;810路,,121.432214,31.150456,310000,上海市,021,上海市,310104,徐汇区,康健
BV11403112,,上海长途客运南站(公交站),交通设施服务;公交车站;公交车站相关,南浔古镇景区专线,,121.433079,31.151987,310000,上海市,021,上海市,310104,徐汇区,康健
BV10425058,,南宁路宾南路(公交站),交通设施服务;公交车站;公交车站相关,1204路B线,,121.437004,31.160252,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10851808,,三江路宾阳路(公交站),交通设施服务;公交车站;公交车站相关,1204路,,121.438954,31.163481,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10385034,,罗秀路龙州路(公交站),交通设施服务;公交车站;公交车站相关,56路;867路,,121.427244,31.130382,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10384863,,老沪闵路上中路(光华园)(公交站),交通设施服务;公交车站;公交车站相关,111路,,121.431324,31.138993,310000,上海市,021,上海市,310104,徐汇区,
BV10832284,,天等路罗秀路(公交站),交通设施服务;公交车站;公交车站相关,192路,,121.429175,31.132786,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV11601491,,中山医院(公交站),交通设施服务;公交车站;公交车站相关,171路;49路,,121.45411,31.199188,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV11600388,,龙华医院(公交站),交通设施服务;公交车站;公交车站相关,167路;301路;44路;50路;733路;864路;932路,,121.449704,31.187074,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10385102,,嘉川路百色路(公交站),交通设施服务;公交车站;公交车站相关,192路;720路,,121.433887,31.142059,310000,上海市,021,上海市,310104,徐汇区,
BV11600387,,肿瘤医院(公交站),交通设施服务;公交车站;公交车站相关,301路;49路;50路;徐汇滨江环线,,121.453528,31.192841,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10832285,,永川路罗城路(公交站),交通设施服务;公交车站;公交车站相关,192路,,121.439869,31.153061,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10851809,,武宣路南宁路(公交站),交通设施服务;公交车站;公交车站相关,1204路,,121.443735,31.163368,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10384892,,龙华西路天钥桥路(公交站),交通设施服务;公交车站;公交车站相关,733路;809路,,121.447504,31.173524,310000,上海市,021,上海市,310104,徐汇区,龙华
BV11600743,,龙华(烈士陵园)(公交站),交通设施服务;公交车站;公交车站相关,167路,,121.447938,31.174436,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10384233,,龙临路上中路(公交站),交通设施服务;公交车站;公交车站相关,820路;824路,,121.436676,31.135712,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10387032,,园南新村(公交站),交通设施服务;公交车站;公交车站相关,131路,,121.439049,31.141163,310000,上海市,021,上海市,310104,徐汇区,
BV11600377,,东安新村(公交站),交通设施服务;公交车站;公交车站相关,50路,,121.456238,31.187304,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10384299,,长桥路上中路(公交站),交通设施服务;公交车站;公交车站相关,820路;824路;闵行20路,,121.439171,31.137156,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11600626,,新龙华(公交站),交通设施服务;公交车站;公交车站相关,111路;178路;178路大站车;342路;56路;714路;720路;733路;770路;824路;932路;956路;957路;958路,,121.448476,31.159862,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10384919,,园南二村(公交站),交通设施服务;公交车站;公交车站相关,720路;824路,,121.442418,31.142816,310000,上海市,021,上海市,310104,徐汇区,
BV10384895,,丰谷路机场西路(公交站),交通设施服务;公交车站;公交车站相关,809路,,121.453655,31.169106,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10384159,,龙川路罗香路(公交站),交通设施服务;公交车站;公交车站相关,755路,,121.442253,31.13786,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10860554,,丰谷路龙恒路(公交站),交通设施服务;公交车站;公交车站相关,167路;734路;933路,,121.455208,31.170221,310000,上海市,021,上海市,310104,徐汇区,龙华
BV11581126,,朱梅路地铁站(公交站),交通设施服务;公交车站;公交车站相关,闵行13路;闵行14路,,121.438174,31.123239,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10548495,,大木桥路中山南二路(公交站),交通设施服务;公交车站;公交车站相关,104路;327路;45路;572路;徐汇滨江环线;隧道二线,,121.464188,31.193438,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10386624,,瑞金南路斜土路(公交站),交通设施服务;公交车站;公交车站相关,205路;41路;781路;96路,,121.467636,31.201986,310000,上海市,021,上海市,310104,徐汇区,五里桥
BV11601537,,龙华机场(公交站),交通设施服务;公交车站;公交车站相关,809路;864路,,121.455291,31.166558,310000,上海市,021,上海市,310104,徐汇区,龙华
BV11607694,,龙华机场(上客站)(公交站),交通设施服务;公交车站;公交车站相关,809路,,121.455326,31.166432,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10540962,,平福路上中路(公交站),交通设施服务;公交车站;公交车站相关,56路区间,,121.447069,31.14028,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10976515,,龙腾大道瑞宁路(公交站),交通设施服务;公交车站;公交车站相关,浦西滨江1路,,121.46351,31.183913,310000,上海市,021,上海市,310104,徐汇区,
BV10382384,,龙吴路百色路(公交站),交通设施服务;公交车站;公交车站相关,178路;178路大站车;342路;56路;56路区间;714路;720路;770路;824路;956路;958路,,121.450745,31.145325,310000,上海市,021,上海市,310104,徐汇区,
BV10384095,,龙水南路天钥桥南路(公交站),交通设施服务;公交车站;公交车站相关,56路区间;733路;932路,,121.453976,31.153312,310000,上海市,021,上海市,310104,徐汇区,
BV11490875,,景洪路华泾路(公交站),交通设施服务;公交车站;公交车站相关,1220路;闵行14路,,121.43996,31.114836,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10976517,,龙腾大道丰谷路(公交站),交通设施服务;公交车站;公交车站相关,浦西滨江1路,,121.461942,31.174259,310000,上海市,021,上海市,310104,徐汇区,
BV11444498,,植物园(公交站),交通设施服务;公交车站;公交车站相关,上奉专线,,121.45067,31.143546,310000,上海市,021,上海市,310104,徐汇区,
BV10540963,,平福路罗秀路(公交站),交通设施服务;公交车站;公交车站相关,56路区间,,121.448264,31.13651,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10976516,,瑞宁路龙腾大道(公交站),交通设施服务;公交车站;公交车站相关,徐汇滨江环线;浦西滨江1路;滨江2路,,121.467062,31.186124,310000,上海市,021,上海市,310104,徐汇区,
BV11015004,,长峰新村(公交站),交通设施服务;公交车站;公交车站相关,733路,,121.455742,31.151797,310000,上海市,021,上海市,310104,徐汇区,
BV11569735,,建华路位育路(公交站),交通设施服务;公交车站;公交车站相关,731路,,121.444926,31.121068,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10382381,,龙吴路龙瑞路(港口)(公交站),交通设施服务;公交车站;公交车站相关,178路;178路大站车;342路;56路;714路;956路;958路,,121.451936,31.138867,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10384276,,龙吴路龙瑞路(公交站),交通设施服务;公交车站;公交车站相关,56路区间;770路;上奉专线,,121.452027,31.13866,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11014979,,龙腾大道喜泰支路(公交站),交通设施服务;公交车站;公交车站相关,浦西滨江1路,,121.454525,31.145299,310000,上海市,021,上海市,310104,徐汇区,
BV11014774,,龙腾大道龙兰路(公交站),交通设施服务;公交车站;公交车站相关,浦西滨江1路,,121.463196,31.167456,310000,上海市,021,上海市,310104,徐汇区,
BV11569731,,华泾路位育路(公交站),交通设施服务;公交车站;公交车站相关,731路,,121.446016,31.118247,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11014980,,龙腾大道龙瑞路(公交站),交通设施服务;公交车站;公交车站相关,浦西滨江1路,,121.455063,31.140718,310000,上海市,021,上海市,310104,徐汇区,
BV11562346,,龙吴路华发路(公交站),交通设施服务;公交车站;公交车站相关,闵行20路,,121.455597,31.128004,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11014978,,龙腾大道进木港(公交站),交通设施服务;公交车站;公交车站相关,浦西滨江1路,,121.457956,31.133815,310000,上海市,021,上海市,310104,徐汇区,
BV10553009,,龙吟路华济路(公交站),交通设施服务;公交车站;公交车站相关,1210路;1220路;718路;770路;浦西滨江1路,,121.453555,31.11559,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10405513,,龙吴路徐梅路(公交站),交通设施服务;公交车站;公交车站相关,1220路;731路;770路;956路;浦西滨江1路,,121.456871,31.122131,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10385677,,华泾镇政府(公交站),交通设施服务;公交车站;公交车站相关,上奉专线,,121.456832,31.118957,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10382380,,龙吴路华泾路(公交站),交通设施服务;公交车站;公交车站相关,1210路;1220路;178路;178路大站车;342路;731路;770路;956路;958路,,121.456967,31.118602,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11082540,,徐梅路龙吴路(公交站),交通设施服务;公交车站;公交车站相关,浦西滨江1路,,121.45919,31.124531,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10649799,,紫阳(公交站),交通设施服务;公交车站;公交车站相关,上奉专线,,121.455875,31.113081,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10382383,,龙吴路华展路(公交站),交通设施服务;公交车站;公交车站相关,178路;178路大站车;342路;770路;956路;958路,,121.455827,31.112913,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10382382,,龙吴路银都路(公交站),交通设施服务;公交车站;公交车站相关,1210路;178路;178路大站车;342路;956路;958路;上奉专线,,121.454468,31.108021,310000,上海市,021,上海市,310104,徐汇区,华泾
BV11015549,,龙腾大道徐梅路(公交站),交通设施服务;公交车站;公交车站相关,浦西滨江1路,,121.46221,31.127728,310000,上海市,021,上海市,310104,徐汇区,
BV10384286,,龙吴路景联路(公交站),交通设施服务;公交车站;公交车站相关,178路大站车;342路,,121.454123,31.102948,310000,上海市,021,上海市,310104,徐汇区,
BV10436037,,龙吴路景联路(关港)(公交站),交通设施服务;公交车站;公交车站相关,178路;178路大站车;342路;956路,,121.45443,31.101831,310000,上海市,021,上海市,310104,徐汇区,
BV10903739,,望月路银都路(公交站),交通设施服务;公交车站;公交车站相关,1210路,,121.45829,31.108919,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10341854,,桂平路全州路(公交站),交通设施服务;公交车站;公交车站相关,113路;252路;257路,,121.404197,31.166257,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BV10340601,,龙川北路石龙路(公交站),交通设施服务;公交车站;公交车站相关,718路;810路;820路;南南线,,121.436629,31.151554,310000,上海市,021,上海市,310104,徐汇区,康健
BV10340594,,老沪闵路华泾路(公交站),交通设施服务;公交车站;公交车站相关,714路;718路;闵行13路,,121.437254,31.115962,310000,上海市,021,上海市,310104,徐汇区,
BV10339424,,龙州路嘉川路(公交站),交通设施服务;公交车站;公交车站相关,192路;957路,,121.42392,31.136711,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10339423,,平江路枫林路(公交站),交通设施服务;公交车站;公交车站相关,957路,,121.454221,31.19972,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV10339420,,汇成新村(公交站),交通设施服务;公交车站;公交车站相关,131路;192路;720路;957路;973路,,121.43464,31.143103,310000,上海市,021,上海市,310104,徐汇区,康健
BV10338443,,中山南二路天钥桥路(公交站),交通设施服务;公交车站;公交车站相关,111路;456路;49路;87路;956路;徐川专线,,121.443034,31.179132,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10338441,,东安路中山南二路(公交站),交通设施服务;公交车站;公交车站相关,301路;49路,,121.455994,31.188038,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10338310,,桂林路漕宝路(公交站),交通设施服务;公交车站;公交车站相关,131路;166路;224路;303路;43路;712路;732路;763路;804路;830路;946路,,121.418798,31.165816,310000,上海市,021,上海市,310104,徐汇区,田林
BV10323297,,沙家浜小区(公交站),交通设施服务;公交车站;公交车站相关,1210路,,121.460317,31.115894,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10039994,,石龙路(地铁站),交通设施服务;地铁站;地铁站,3号线,,121.443205,31.157949,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10039762,,梅陇路凌云路(公交站),交通设施服务;公交车站;公交车站相关,50路区间,,121.419861,31.138737,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10039761,,龙州路梅陇路(公交站),交通设施服务;公交车站;公交车站相关,50路区间,,121.423125,31.13819,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10039760,,梅陇路龙州路(公交站),交通设施服务;公交车站;公交车站相关,157路;192路;50路;50路区间;720路;729路;957路,,121.421147,31.139277,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10038830,,肇嘉浜路高安路(公交站),交通设施服务;公交车站;公交车站相关,徐闵线,,121.447938,31.199023,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV10033583,,龙州路罗秀路(公交站),交通设施服务;公交车站;公交车站相关,192路;56路;957路,,121.426285,31.130816,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10033581,,百色路老沪闵路(公交站),交通设施服务;公交车站;公交车站相关,957路,,121.429737,31.142165,310000,上海市,021,上海市,310104,徐汇区,
BV10033515,,长桥路罗秀路(公交站),交通设施服务;公交车站;公交车站相关,731路,,121.440531,31.134433,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10033514,,龙川路罗秀路(公交站),交通设施服务;公交车站;公交车站相关,111路;56路;731路;820路,,121.443281,31.13487,310000,上海市,021,上海市,310104,徐汇区,华泾
BV10033488,,浦北路桂江路(公交站),交通设施服务;公交车站;公交车站相关,1252路;804路;830路,,121.410378,31.150972,310000,上海市,021,上海市,310104,徐汇区,康健
BV10033400,,浦北路桂林路(公交站),交通设施服务;公交车站;公交车站相关,1252路;755路;761路,,121.422643,31.155564,310000,上海市,021,上海市,310104,徐汇区,康健
BV10033338,,浦北路柳州路(公交站),交通设施服务;公交车站;公交车站相关,1252路;755路;761路,,121.426549,31.158121,310000,上海市,021,上海市,310104,徐汇区,康健
BV10033333,,百色路平福路(公交站),交通设施服务;公交车站;公交车站相关,720路;824路,,121.446358,31.143311,310000,上海市,021,上海市,310104,徐汇区,
BV10033331,,百色路龙川北路(公交站),交通设施服务;公交车站;公交车站相关,720路;824路;973路,,121.439652,31.142517,310000,上海市,021,上海市,310104,徐汇区,
